n,min_k_for_aggregated_combinations,log_sum_of_combinations_min_k_aggregated_combinations,sum_of_combinations_min_k_aggregated_combinations,min_k,log_combinations_min_k,combinations_min_k,max_k,log_combinations_max_k,combinations_max_k
1320,17,127.75952664018284,288037975993136011080203363374464843869,17,127.74060978849725,284285828413986005120703751232851886640,18,133.91830615562307,20579135245745764704015388214244778238440
1321,17,127.77819865787748,291790123572286017039702975516077801099,17,127.759296385513,287992008692389196905252803204445814610,18,133.93809953830177,20863421074159750709136091965477630125080
1322,17,127.79685647106211,295588238452182837174153147827709787589,17,127.77796875556345,291743628728995033186777169223201047444,18,133.95787784557837,21151413082852139906041344768682075939690
1323,17,127.81550010133202,299432848175370641161529126432218527735,17,127.7966269202957,295541210419954386604981772497928779302,18,133.9776411003998,21443156711581134939228121937905276987134
1324,17,127.83412957023326,303324485930786895718076480366508276169,17,127.81527090130747,299385281251736501809484213303181104664,18,133.9973893256606,21738697922001089325833103710403205766436
1325,17,127.85274489926282,307263690609837289626668747429835447675,17,127.83390072014731,303276374356690263683154879684032846850,18,134.0171225442031,22038083203252825827642587923706386871100
1326,17,127.8713461098688,311251006862984315570182615175638048501,17,127.85251639831466,307215028569114812562156891108500805900,18,134.0368407788176,22341359577609516091325742803390419717950
1327,17,127.8899332234505,315286985156853818578208339242775291103,17,127.87111795726004,311201788481843783412200148474030969030,18,134.05654405224254,22648574606178630903887899694498920523850
1328,17,127.90850626135865,319372181831863853744216530011519613177,17,127.88970541838522,315237204503347478544166130567134345440,18,134.07623238716465,22959776394660474687300099842972951492880
1329,17,127.92706524489549,323507159160380228944266929455904880915,17,127.9082788030433,319321832915357316299692673417470689855,18,134.09590580621906,23275013599163822165844265973540085838320
1330,17,127.94561019531493,327692485405403141588841185494339071976,17,127.92683813253898,323456235931016931209894330270552945550,18,134.11556433198953,23594335432079179482143958646957556528175
1331,17,127.96414113382271,331928734879789351967788040718125198403,17,127.94538342812854,327640981753564334429504835304494650325,18,134.13520798700856,23917791668010196413353852977228109473725
1332,17,127.98265808157655,336216488006014369506071246131755746482,17,127.96391471102014,331876644635549576775741779943412071660,18,134.15483679375748,24245432649763760747783357812532604124050
1333,16,121.72446238554656,4392526437886771778905429140336281850,17,127.98243200237387,336163804938592390457495283179763139455,18,134.17445077466678,24577309294399310324559099592476016195710
1334,16,121.7418572617602,4445808620681614447881154549422773746,16,121.72426350954422,4391920968355564061188334429049483915,17,128.00093532330195,340503049193684319567424986911012929410
1335,16,121.75923903956203,4499696273007664834573974669796063578,16,121.7416586868676,4445196734461469311361960927051600475,17,128.0194246948688,344894970162039883628613321340062413325
1336,16,121.77660773866344,4554195811553860357785988412540526682,16,121.75904076509583,4499077907000396212105742271621922905,17,128.03790013809132,349340166896501352939975282267114013800
1337,16,121.79396337873129,4609313716107324503466234553459130460,16,121.77640976394235,4553570902088970276748960951671847785,17,128.05636167393885,353839244803501749152081024538735936705
1338,16,121.81130597938818,4665056530125678730183508155246413136,16,121.79376570307612,4608682198937248283124137483613413265,17,128.07480932333348,358392815705590719428829985490407784490
1339,16,121.82863556021246,4721430861314109177242878826879413008,16,121.81110860212176,4664418340420994294106742320905790145,17,128.0932431071501,363001497904527967711954122974021197755
1340,16,121.84595214073846,4778443382207224060379015332853035872,16,121.82843848065967,4720785933658710237237941623877461325,17,128.11166304621656,367665916244948962006060865294926987900
1341,16,121.86325574045657,4836100830755737883520089041828610420,16,121.84575535822623,4777791650593456926895154503863906141,17,128.1300691613138,372386702178607672243298806918804449225
1342,16,121.88054637881335,4894410010918018840145023579793314700,16,121.86305925431382,4835442228579501656028127710547030197,17,128.14846147317607,377164493829201129170193961422668355366
1343,16,121.89782407521176,4953377793256536024261919449039599204,16,121.88035018837107,4893744470973828729499454043153475173,17,128.16684000249091,381999936057780630826222089133215385563
1344,16,121.91508884901116,5013011115539243319024384854925723236,16,121.89762817980291,4952705247732549557565712525601107404,17,128.18520476989949,386893680528754459555721543176368860736
1345,16,121.93234071952753,5073316983345937080483057184250339069,16,121.91489324797071,5012331496012249176016466024780654220,17,128.20355579599655,391846385776487009113287255701969968140
1346,16,121.94957970603359,5134302470679624984949648343720023919,16,121.93214541219248,5072630220776306308961025014552451564,17,128.2218931013307,396858717272499258289303721726750622360
1347,16,121.96680582775888,5195974720582943660938271672887596275,16,121.94938469174289,5133608495406224341225019304734900268,17,128.24021670640445,401931347493275564598264746741303073924
1348,16,121.98401910388993,5258340945759662980651524041040292283,16,121.96661110585349,5195273462318010819798292809896881052,17,128.2585266316744,407064955988681788939489766046037974192
1349,16,122.00121955357042,5321408429201315141504755272183703515,16,121.98382467371279,5257632333583643357770365341748606556,17,128.27682289755143,412260229450999799759288058855934855244
1350,16,122.0184071959012,5385184524818986925239145202618800475,16,122.0010254144664,5320692391557660069707641087976475900,17,128.29510552440064,417517861784583443117058424197683461800
1351,16,122.03558204994056,5449676658080313780770649317261125051,16,122.01821334721716,5384460989508912924475672741465332540,17,128.31337453254173,422838554176141103186766065285659937700
1352,16,122.05274413470421,5514892326651714637065625893056917563,16,122.03538849102529,5448945552257522660098135888069707780,17,128.331629942249,428223015165650016111241738027125270240
